filepath,label
dataset_fyp1\acne\01F3MMXJ24BWB58NHE1QVGMZJ3_jpeg_jpg.rf.eb060bd7c643be7f60118475a8f0c252.jpg,acne
dataset_fyp1\acne\01F3MMYNE0NXTGFZ8T0PGRQPGY_jpeg_jpg.rf.05e228732564c1e36f99431944e56aea.jpg,acne
dataset_fyp1\acne\01F3MMZ4J6M8C0N5VAMN449RRZ_jpeg_jpg.rf.31fd17f68120a02c922fc1293228dc45.jpg,acne
dataset_fyp1\acne\07Acne081101.jpg,acne
dataset_fyp1\acne\07AcnePittedScars.jpg,acne
dataset_fyp1\acne\07AcnePittedScars1.jpg,acne
dataset_fyp1\acne\0_front.jpg,acne
dataset_fyp1\acne\0_left_side.jpg,acne
dataset_fyp1\acne\0_right_side.jpg,acne
dataset_fyp1\acne\128_jpg.rf.9370e0bc57069d36142781889ce87cbc.jpg,acne
dataset_fyp1\acne\1_front.jpg,acne
dataset_fyp1\acne\1_left_side.jpg,acne
dataset_fyp1\acne\1_right_side.jpg,acne
dataset_fyp1\acne\256_jpg.rf.316681ec18d7eeed102466183356eae1.jpg,acne
dataset_fyp1\acne\2_front.jpg,acne
dataset_fyp1\acne\2_left_side.jpg,acne
dataset_fyp1\acne\2_right_side.jpg,acne
dataset_fyp1\acne\36_jpg.rf.c2f993746e160190a5df4ee9500b8147.jpg,acne
dataset_fyp1\acne\3_front.jpg,acne
dataset_fyp1\acne\3_left_side.jpg,acne
dataset_fyp1\acne\3_right_side.jpg,acne
dataset_fyp1\acne\4_front.jpg,acne
dataset_fyp1\acne\4_left_side.jpg,acne
dataset_fyp1\acne\4_right_side.jpg,acne
dataset_fyp1\acne\5_front.jpg,acne
dataset_fyp1\acne\5_left_side.jpg,acne
dataset_fyp1\acne\5_right_side.jpg,acne
dataset_fyp1\acne\62_jpg.rf.635d29e633224c9ad537089454d143b7.jpg,acne
dataset_fyp1\acne\6_front.jpg,acne
dataset_fyp1\acne\6_left_side.jpg,acne
dataset_fyp1\acne\6_right_side.jpg,acne
dataset_fyp1\acne\7_front.jpg,acne
dataset_fyp1\acne\7_jpg.rf.bc0b8f7a6a3c438dbb424b96d4ce538f.jpg,acne
dataset_fyp1\acne\7_left_side.jpg,acne
dataset_fyp1\acne\7_right_side.jpg,acne
dataset_fyp1\acne\88_jpg.rf.b8b74d10d97a5ceb286d323fcf0d3792.jpg,acne
dataset_fyp1\acne\8_front.jpg,acne
dataset_fyp1\acne\8_left_side.jpg,acne
dataset_fyp1\acne\8_right_side.jpg,acne
dataset_fyp1\acne\9_front.jpg,acne
dataset_fyp1\acne\9_left_side.jpg,acne
dataset_fyp1\acne\9_right_side.jpg,acne
dataset_fyp1\acne\acne-101_jpeg.rf.af45ba09bf2981ed7cc4af94b54aae48.jpg,acne
dataset_fyp1\acne\acne-101_jpeg.rf.d13d618fff02c3133aac95c6b0c7b5fb.jpg,acne
dataset_fyp1\acne\acne-101_jpeg.rf.dd5c14cef0a2ba13b110f05a520f00c0.jpg,acne
dataset_fyp1\acne\acne-102_jpeg.rf.d15b34dc9a1e69aa996118a4c1a173ef.jpg,acne
dataset_fyp1\acne\acne-103_jpeg.rf.055236d16a0ad3642b8e9f44250a8999.jpg,acne
dataset_fyp1\acne\acne-104_jpeg.rf.049f40b91f49dd3554b929ab004aa10e.jpg,acne
dataset_fyp1\acne\acne-104_jpeg.rf.5b7dbce5a05426ce03d20ea30f8614ad.jpg,acne
dataset_fyp1\acne\acne-104_jpeg.rf.854a06c90fd544c3418d6931d1a5c92b.jpg,acne
dataset_fyp1\acne\acne-105_jpeg.rf.e9b2ecfb4afb0217f046179f125242d2.jpg,acne
dataset_fyp1\acne\acne-106_jpeg.rf.078f5194805c1882a8e63cea008410a7.jpg,acne
dataset_fyp1\acne\acne-106_jpeg.rf.8ed823543e5ad3b616c3286f7bec0fb5.jpg,acne
dataset_fyp1\acne\acne-106_jpeg.rf.fe8d695cc950d5cfd33cd1d0aee4730e.jpg,acne
dataset_fyp1\acne\acne-107_jpeg.rf.4e21baf3b6d77c05024f07b3cca0c498.jpg,acne
dataset_fyp1\acne\acne-107_jpeg.rf.9a0d1f16966910fc2d1351f8c218e971.jpg,acne
dataset_fyp1\acne\acne-107_jpeg.rf.fe9873a17fa31389536ca33faca813c4.jpg,acne
dataset_fyp1\acne\acne-109_jpeg.rf.09c25c7027db07e930a3501960cafbc4.jpg,acne
dataset_fyp1\acne\acne-109_jpeg.rf.71c01ec227c54f3d2134264c523a5c38.jpg,acne
dataset_fyp1\acne\acne-109_jpeg.rf.f1dfe70192f63b0f7f3c60c34f989502.jpg,acne
